Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
כֵּן,ken,adjective,upright / honest,Biblical,
כַּס,kas,noun,throne (poetic),Biblical,variant of כִּסֵּא
כֵּס,kes,noun,throne,Biblical,Exod 17:16
כַּף,kaf,noun,palm / spoon / sole,Both,
כַּר,kar,noun,meadow / pasture,Biblical,Isa 30:23
כַּר,kar,noun,cushion / saddle,Biblical,Gen 31:34
כָּר,kar,noun,lamb / ram,Biblical,in construct forms
כַּת,kat,noun,group / sect / class,Both,1 Sam 19:20; modern 'sect'
לֹא,lo,adverb,no / not,Both,
לֵב,lev,noun,heart,Both,
לָהּ,lah,pronoun,to her / hers,Both,
לוֹ,lo,pronoun,to him / his,Both,
לוּ,lu,particle,if only / would that,Biblical,counterfactual wish
לַח,lach,adjective,moist / fresh / damp,Both,
לַט,lat,noun,secrecy / mystery / enchantment,Biblical,Gen 41:8 (בַּלָּט)
לָט,lat,noun,covering / veil,Biblical,Isa 25:7
לִי,li,pronoun,to me / mine,Both,
לַן,lan,verb,lodged / stayed overnight,Biblical,
מַד,mad,noun,garment / measure,Biblical,
מָה,mah,pronoun,what?,Both,
מַה,mah,pronoun,what? (variant),Both,
מֶה,meh,pronoun,what? (variant),Biblical,
מוֹ,mo,pronoun,him / them (poetic),Biblical,
מֵי,mei,noun,waters of (construct),Both,construct of מַיִם
מִי,mi,pronoun,who?,Both,
מַן,man,pronoun,who? (Aramaic),Biblical,Dan 3:6
מָן,man,noun,manna,Biblical,Exod 16
מַס,mas,noun,tribute / forced labor / tax,Both,
מֹץ,motz,noun,chaff,Biblical,
מַר,mar,adjective,bitter,Both,
מַר,mar,noun,Mister / Mr.,Modern,honorific
מָר,mar,adjective,bitter (variant),Both,
מֵת,met,adjective,dead,Both,
מֵת,met,verb,died,Both,
מַת,mat,noun,man / few (poetic),Biblical,Deut 2:34 etc.
נָא,na,particle,please / now (entreaty),Both,
נָא,na,adjective,raw / undercooked,Biblical,Exod 12:9
נֵד,ned,noun,heap (esp. of water),Biblical,Exod 15:8
נָד,nad,verb,wandered / fled,Biblical,
נָם,nam,verb,slumbered,Biblical,
נֵס,nes,noun,banner / miracle / sign,Both,
נָס,nas,verb,fled,Biblical,
נֹף,nof,noun,height / landscape,Biblical,also Memphis
נֵר,ner,noun,candle / lamp,Both,
סַב,sav,noun,grandfather,Modern,
סָב,sav,verb,turned around,Biblical,
סַל,sal,noun,basket,Both,
סַם,sam,noun,spice / drug,Both,
סַף,saf,noun,threshold / basin,Biblical,
סָר,sar,verb,turned aside / departed,Biblical,
עָב,av,noun,thick cloud,Biblical,
עֹב,ov,noun,thickness / cloud,Biblical,variant
עַד,ad,preposition,until / up to,Both,
עַד,ad,noun,eternity / perpetuity,Biblical,Isa 9:5
עֵד,ed,noun,witness,Both,
עֹז,oz,noun,strength / might / power,Biblical,
עַז,az,adjective,strong / bold / fierce,Both,
עֵז,ez,noun,goat,Both,
עַל,al,preposition,on / upon / over / about,Both,
עֹל,ol,noun,yoke,Biblical,
עַם,am,noun,people / nation,Both,
עִם,im,preposition,with,Both,
עָף,af,verb,flew,Biblical,
עֵץ,etz,noun,tree / wood,Both,
עֵר,er,adjective,awake,Both,
עֵת,et,noun,time / season,Both,
עֹת,ot,noun,time (poetic construct),Biblical,rare
פַּג,pag,noun,unripe fig,Biblical,Song 2:13
פֶּה,peh,noun,mouth,Both,
פֹּה,po,adverb,here,Both,
פַּז,paz,noun,fine gold / refined gold,Biblical,poetic
פַּח,pach,noun,trap / snare,Both,
פַּח,pach,noun,sheet / plate (metal),Biblical,Num 17:3
פַּךְ,pach,noun,flask / vial,Biblical,1 Sam 10:1
פֵּן,pen,conjunction,lest / otherwise,Both,
פַּס,pas,noun,strip / tunic piece,Biblical,Gen 37:3 (coat of many colors)
פַּר,par,noun,young bull,Biblical,sacrificial animal
פַּת,pat,noun,bit / morsel of bread,Both,
צֵא,tze,verb,go out! (imperative m.s.),Both,
צַב,tzav,noun,covered wagon / lizard,Biblical,Num 7:3 / Lev 11:29
צַד,tzad,noun,side / flank,Both,
צָד,tzad,verb,hunted,Biblical,
צַו,tzav,noun,command / precept,Biblical,
צִי,tzi,noun,ship / fleet,Biblical,Num 24:24
צֵל,tzel,noun,shadow / shade,Both,
צָם,tzam,verb,fasted,Biblical,
צַר,tzar,adjective,narrow / tight,Both,
צַר,tzar,noun,enemy / adversary / distress,Biblical,
צָר,tzar,verb,besieged,Biblical,
צֹר,tzor,noun,flint / stone knife,Biblical,also Tyre (Tzor)
קַב,kav,noun,a dry measure,Biblical,2 Kgs 6:25
קַו,kav,noun,line / cord / measuring line,Both,
קַל,kal,adjective,light / easy / swift,Both,
קָם,kam,verb,arose / stood up,Biblical,
קֵן,ken,noun,nest,Both,
קֵץ,ketz,noun,end / limit,Both,
קַר,kar,adjective,cold,Both,
רַב,rav,adjective,many / great / much,Both,
רַב,rav,noun,master / chief / rabbi,Both,
רָב,rav,verb,contended / strove,Biblical,
רֹב,rov,noun,multitude / abundance / majority,Both,
רַז,raz,noun,secret,Biblical,Aramaic in Daniel
רַךְ,rach,adjective,tender / delicate / soft,Both,
רָם,ram,adjective,high / exalted,Both,
רֵעַ,rea,noun,friend / neighbor / fellow,Both,
רָע,ra,adjective,bad / evil,Both,
רָע,ra,noun,evil / misfortune,Both,
רַץ,ratz,verb,ran,Biblical,
רַק,rak,adverb,only / just,Both,
שָׁב,shav,verb,returned / came back,Biblical,
שָׂב,sav,adjective,gray-haired / elder,Biblical,
שַׁד,shad,noun,breast / chest,Both,
שַׁד,shad,noun,demon,Biblical,Deut 32:17
שֹׁד,shod,noun,destruction / violence,Biblical,
שֵׂה,seh,noun,lamb / sheep / kid,Both,
שָׂה,seh,noun,lamb / sheep (variant),Biblical,variant of שֵׂה
שָׂח,sach,verb,spoke / meditated,Biblical,poetic
שֹׁט,shot,noun,whip / scourge,Biblical,
שַׁי,shai,noun,gift / tribute,Biblical,Ps 68:30
שֶׁל,shel,preposition,of / belonging to,Both,
שָׁל,shal,verb,drew off (a sandal),Biblical,Exod 3:5
שָׁם,sham,adverb,there,Both,
שֵׁם,shem,noun,name,Both,
שָׂם,sam,verb,placed / put / set,Biblical,
שָׁר,shar,verb,sang,Biblical,
שַׂר,sar,noun,prince / officer / chief,Both,
שָׁת,shat,verb,placed / set,Biblical,
שֵׁת,shet,noun,buttock,Biblical,2 Sam 10:4
תָּא,ta,noun,chamber / guard-room,Biblical,Ezek 40
תַּו,tav,noun,mark / sign,Biblical,Ezek 9:4
תַּו,tav,noun,the letter tav,Both,
תֵּל,tel,noun,mound / ancient ruin,Both,
תָּם,tam,adjective,innocent / complete / blameless,Both,
תֹּם,tom,noun,integrity / wholeness / innocence,Biblical,
תֵּן,ten,verb,give! (imperative m.s.),Both,
תַּן,tan,noun,jackal (singular),Biblical,usually plural תַּנִּים
תָּן,tan,noun,jackal (variant),Biblical,
תֹּף,tof,noun,timbrel / hand drum,Biblical,
תֹּר,tor,noun,turn / turtle-dove,Biblical,Song 2:12
