key,en,he,context,notes
dashboard.datetime.hebdate_display,Display,,settings label (Hebrew date),
dashboard.datetime.hide_eng_date,Hide English date,,settings label,
dashboard.datetime.hide_heb_date,Hide Hebrew date,,settings label,
dashboard.datetime.hide_time,Hide time,,settings label,
dashboard.datetime.show_eng_dow,Show day of the week,,settings label,
dashboard.datetime.show_holiday_countdown,Show Countdown to Next Holiday,,settings label,
dashboard.datetime.show_seconds,Show seconds,,settings label,
dashboard.datetime.sub_english_date,English Date,,settings sub-section header,
dashboard.datetime.sub_hebrew_date,Hebrew Date,,settings sub-section header,
dashboard.datetime.sub_time,Time,,settings sub-section header,
dashboard.datetime.time_format,Time format,,settings label,
dashboard.datetime.time_size,Time size,,size slider label,
dashboard.days.col_title,Days of the Week,,live-card column title,RTL / hebDisplay; Hebrew fork אֵיזֶה יוֹם הַיוֹם?
dashboard.days.color_days,Color days of the week,,settings label,
dashboard.days.display_label,Display,,settings label (day of week),
dashboard.days.display_size,Display size,,size slider label,
dashboard.days.dow_friday,Friday,,day-of-week name,
dashboard.days.dow_monday,Monday,,day-of-week name,
dashboard.days.dow_saturday,Saturday,,day-of-week name,
dashboard.days.dow_sunday,Sunday,,day-of-week name,
dashboard.days.dow_thursday,Thursday,,day-of-week name,
dashboard.days.dow_tuesday,Tuesday,,day-of-week name,
dashboard.days.dow_wednesday,Wednesday,,day-of-week name,
dashboard.days.emoji_none,None,,emoji-set button (no emoji),
dashboard.days.emoji_sequence,Emoji sequence,,settings label,
dashboard.days.emoji_size,Emoji size,,size slider label,
dashboard.days.hide_panel,Hide Day of Week panel,,settings label,
dashboard.days.holiday_countdown.one,{count} day until {title},,holiday countdown line,plural; mixed UI+content — do not translate {…}
dashboard.days.holiday_countdown.other,{count} days until {title},,holiday countdown line,plural; mixed UI+content — do not translate {…}
dashboard.days.holiday_today,🎉 Today is {title}!,,holiday countdown line,leading-emoji; mixed UI+content — do not translate {…}
dashboard.days.marker_today,Today,,day marker badge,RTL / hebDisplay; Hebrew fork הַיוֹם
dashboard.days.marker_tomorrow,Tomorrow,,day marker badge,RTL / hebDisplay; Hebrew fork מָחָר יִהְיֶה
dashboard.days.marker_yesterday,Yesterday,,day marker badge,RTL / hebDisplay; Hebrew fork אֶתְמוֹל הָיָה
dashboard.days.omer_day,Day {n} of the Omer,,Omer panel English label,
dashboard.days.omer_day_week,"Day {n} of the Omer · Week {w}, Day {d}",,Omer panel English label,mixed UI+content — do not translate {…}
dashboard.days.omer_shavuot,Chag Sameach — Shavuot,,Omer panel (Shavuot),
dashboard.days.omer_show_english,Show English day/week label,,settings label,
dashboard.days.omer_show_panel,Show Omer panel,,settings label,
dashboard.days.omer_show_progress,Show progress bar,,settings label,
dashboard.days.shabbat_candle,🕯️ Candle lighting: {date} at {time},,Shabbat times line,leading-emoji; mixed UI+content — do not translate {…}
dashboard.days.shabbat_havdalah,✨ Havdalah: {day} at {time},,Shabbat times line,leading-emoji; mixed UI+content — do not translate {…}
dashboard.days.shabbat_location_hint,Uses the same location as the weather widget above.,,settings hint,
dashboard.days.shabbat_unavailable,Shabbat times unavailable,,Shabbat error state,
dashboard.days.show_shabbat,Show Candle Lighting / Havdalah times,,settings label,
dashboard.days.show_today,Show Today marker,,settings label,
dashboard.days.show_tomorrow,Show Tomorrow marker,,settings label,
dashboard.days.show_yesterday,Show Yesterday marker,,settings label,
dashboard.days.tap_to_read,Tap to read,,settings label,
dashboard.days.ytt_size,Y/T/T size,,size slider label,
dashboard.display.column_headers,Column headers,,settings label,
dashboard.display.current_location,📍 Current Location,,location button,leading-emoji
dashboard.display.header_size,Header size,,size slider label,
dashboard.display.hide_zoom_bar,Hide zoom bar,,settings label,
dashboard.display.keep_awake,Keep screen awake,,settings label,
dashboard.display.keep_awake_tip,Prevents the display from dimming or sleeping while the dashboard is open (Screen Wake Lock). Fullscreen keeps the screen awake automatically.,,settings tooltip,
dashboard.display.location_placeholder,"City, e.g. New York",,location input placeholder,
dashboard.display.location_update,Update,,location update button,
dashboard.display.reset_all_text_sizes,↺ Reset all text sizes,,settings button,leading-emoji
dashboard.display.reset_all_text_sizes_confirm,Reset all text sizes to defaults?,,confirm dialog,
dashboard.display.show_text_size_options,Show text size options,,settings label,
dashboard.display.show_video_embed,Show video embed,,settings label,
dashboard.display.wake_dot,Screen will stay awake,,wake-lock indicator (title+aria),
dashboard.display.zoom_label,🔍 Zoom,,zoom bar label,leading-emoji
dashboard.display.zoom_reset,Reset,,zoom bar reset button,
dashboard.font.default_tag,[DEFAULT],,default-font marker,
dashboard.font.section_cursive,Cursive / Script,,font picker section header,
dashboard.font.section_myfonts,My Fonts,,font picker section header,
dashboard.font.section_suffix,{section} Fonts,,font picker section header,mixed UI+content — do not translate {…}
dashboard.fs.controls_aria,Fullscreen controls,,fullscreen strip toolbar aria,aria-label only
dashboard.fs.strip_pick,Pick,,fullscreen strip button,
dashboard.fs.strip_settings,Settings,,fullscreen strip button,
dashboard.fs.strip_text,Text,,fullscreen strip button,
dashboard.fs.strip_timer,Timer,,fullscreen strip button,
dashboard.fs.strip_video,Video,,fullscreen strip button,
dashboard.glyphname.chirik,Chirik,,vowel color-picker row label,glyph-name
dashboard.glyphname.hataf_kamatz,H. Kamatz,,vowel color-picker row label,glyph-name
dashboard.glyphname.hataf_patach,H. Patach,,vowel color-picker row label,glyph-name
dashboard.glyphname.hataf_segol,H. Segol,,vowel color-picker row label,glyph-name
dashboard.glyphname.holam,Holam,,vowel color-picker row label,glyph-name
dashboard.glyphname.kamatz,Kamatz,,vowel color-picker row label,glyph-name
dashboard.glyphname.kubutz,Kubutz,,vowel color-picker row label,glyph-name
dashboard.glyphname.patach,Patach,,vowel color-picker row label,glyph-name
dashboard.glyphname.segol,Segol,,vowel color-picker row label,glyph-name
dashboard.glyphname.shuruk,Shuruk,,vowel color-picker row label,glyph-name
dashboard.glyphname.shva,Shva,,vowel color-picker row label,glyph-name
dashboard.glyphname.tzere,Tzere,,vowel color-picker row label,glyph-name
dashboard.glyphname.vav_holam,Vav Holam,,vowel color-picker row label,glyph-name
dashboard.groups.close,Close,,group result close button,
dashboard.groups.group_title,Group {n},,group card title,RTL / hebDisplay; Hebrew fork קְבוּצָה {n}
dashboard.groups.reshuffle,🔀 Reshuffle,,group result button,leading-emoji
dashboard.header.home,Home,,header nav button,
dashboard.header.settings_btn,Settings,,header icon button title,
dashboard.header.subtitle,"Live Hebrew date, time, weather, and days of the week for SmartBoards — a free Hebrew teaching dashboard.",,page header subtitle,
dashboard.header.title,Hebrew Classroom Dashboard,,page header h1,
dashboard.header.tour_btn,Tour,,header button label,
dashboard.header.tour_btn_title,Take a quick tour,,header button title,
dashboard.picker.all_absent,Everyone is marked absent today.,,pick overlay message,
dashboard.picker.chip_absent,Absent today — tap to include,,chip tooltip (absent),
dashboard.picker.chip_present,Tap to mark absent for this session,,chip tooltip (present),
dashboard.picker.class_cap_note,You can have up to {max} classes. Delete one to add another.,,inline note,
dashboard.picker.class_label,Class,,settings label,
dashboard.picker.class_option,{name} ({count}),,class-switcher option,mixed UI+content — do not translate {…}
dashboard.picker.close,Close,,pick overlay close button,
dashboard.picker.close_aria,Close,,projector overlay close aria,aria-label only
dashboard.picker.col_title,Student Picker,,live-card column title,RTL / hebDisplay; Hebrew fork מִי הַתּוֹר?
dashboard.picker.default_class_name,My class,,default class name,
dashboard.picker.delete_class_confirm,"Delete class ""{name}""? Its roster and today's picks will be removed.",,confirm dialog,mixed UI+content — do not translate {…}
dashboard.picker.delete_class_title,Delete class,,icon button title,
dashboard.picker.empty_card,"Add students to this class in Settings → Student Picker, or pick a different class from the header.",,empty state (sidebar card),
dashboard.picker.empty_groups,Add a class roster in Settings → Student Picker.,,groups overlay empty state,
dashboard.picker.empty_pick,Add students to this class in Settings → Student Picker.,,pick overlay empty state,
dashboard.picker.fair_cycle,Don't repeat until everyone's been picked,,settings label,
dashboard.picker.fs_hide,Hide,,fullscreen pick pop button,
dashboard.picker.fs_make_groups,👥 Make Groups,,fullscreen pick pop button,leading-emoji
dashboard.picker.fs_pick_one,🎲 Pick One,,fullscreen pick pop button,leading-emoji
dashboard.picker.group_count_label,Number of groups (N),,settings label (count mode),
dashboard.picker.group_mode,Group Maker mode,,settings label,
dashboard.picker.group_of_n,Groups of N,,radio option,
dashboard.picker.group_size_label,Group size (N),,settings label (size mode),
dashboard.picker.make_groups,👥 Make Groups,,sidebar picker button,leading-emoji
dashboard.picker.n_groups,N groups,,radio option,
dashboard.picker.new_class_prompt,New class name:,,prompt,
dashboard.picker.new_class_title,New class,,icon button title,
dashboard.picker.new_round,🔄 New round,,fair-cycle reset button + pick note,leading-emoji
dashboard.picker.overlay_aria,Student picker,,projector overlay aria,aria-label only
dashboard.picker.pick_again,🎲 Pick Again,,pick result button,leading-emoji
dashboard.picker.pick_one,🎲 Pick One,,sidebar picker button,leading-emoji
dashboard.picker.progress,Picked {done} / {total},,fair-cycle progress,
dashboard.picker.rename_class_prompt,Rename class:,,prompt,
dashboard.picker.rename_class_title,Rename class,,icon button title,
dashboard.picker.roster_count.one,{count} name,,roster name count,plural
dashboard.picker.roster_count.other,{count} names,,roster name count,plural
dashboard.picker.roster_count_max_suffix,(max {max}),,appended to roster count at cap,
dashboard.picker.roster_hint,"Presets and Schedule Sync remember which class is active — rosters themselves are shared, so editing a list updates it everywhere.",,settings hint,
dashboard.picker.roster_label,Roster — one name per line,,settings label (default),
dashboard.picker.roster_label_named,Roster for {name} — one name per line,,settings label (active class),mixed UI+content — do not translate {…}
dashboard.picker.roster_placeholder,e.g. Ava\nNoah\nדָּוִד\nמַיָה,,roster textarea placeholder,contains \n; mixed UI+content — do not translate {…}
dashboard.picker.show_fullscreen,Show in fullscreen mode,,settings label,
dashboard.picker.show_panel,Show Student Picker panel,,settings label,
dashboard.picker.switch_class,Switch class,,class switcher (title+aria),
dashboard.preset.delete_confirm,"Delete preset ""{name}""?",,confirm dialog,mixed UI+content — do not translate {…}
dashboard.preset.delete_title,Delete,,preset row button title,
dashboard.preset.duplicate_title,Duplicate,,preset row button title,
dashboard.preset.load,Load,,preset row button,
dashboard.preset.name_placeholder,Preset name,,preset name input placeholder,
dashboard.preset.overwrite_confirm,"Overwrite preset ""{name}"" with current settings?",,confirm dialog,mixed UI+content — do not translate {…}
dashboard.preset.overwrite_title,Overwrite with current settings,,preset row button title,
dashboard.preset.quickstart_button,✨ Quick-start layouts…,,presets panel button,leading-emoji
dashboard.preset.quickstart_desc,Apply a ready-made setup — including a general-classroom layout — then tweak it and Save it as your own preset.,,presets panel prose,
dashboard.preset.save,Save,,preset save button,
dashboard.preset.save_empty,Please enter a preset name.,,alert,
dashboard.schedule.add,+ Add,,settings button,leading-emoji
dashboard.schedule.countdown_next_generic,Next class in {time},,countdown line,
dashboard.schedule.countdown_next_named,Next: {preset} in {time},,countdown line,mixed UI+content — do not translate {…}
dashboard.schedule.delete_confirm,"Delete schedule ""{name}""?",,confirm dialog,mixed UI+content — do not translate {…}
dashboard.schedule.drag_reorder,Drag to reorder,,drag handle title,
dashboard.schedule.enable,Enable Schedule Sync,,settings label,
dashboard.schedule.explain,"Each row shows a chosen preset until a set time — as the day moves on, the dashboard reconfigures itself to the next preset automatically, and the countdown shows how long is left in the current block.",,settings prose,
dashboard.schedule.explain_eg,e.g. Morning until 8:45 → Ivrit until 9:30 → Recess until 9:45,,settings prose example,mixed UI+content — do not translate {…}
dashboard.schedule.hdr_preset,Preset,,schedule table column header,
dashboard.schedule.hdr_until,Until,,schedule table column header,
dashboard.schedule.move_down,Move down,,schedule row button title,
dashboard.schedule.move_down_aria,Move row {n} down,,schedule row button aria,aria-label only
dashboard.schedule.move_up,Move up,,schedule row button title,
dashboard.schedule.move_up_aria,Move row {n} up,,schedule row button aria,aria-label only
dashboard.schedule.name_prompt,Schedule name:,,prompt,
dashboard.schedule.next_at,at {time},,next block value,
dashboard.schedule.next_label,Next,,now/next block label,
dashboard.schedule.no_entries,No entries yet — click + Add.,,empty state,
dashboard.schedule.now_label,Now,,now/next block label,
dashboard.schedule.nownext_tip,Shows the current period and the upcoming one (with preset names) in the center of the dashboard.,,settings tooltip,
dashboard.schedule.overwrite_confirm,"Overwrite schedule ""{name}"" with the current schedule?",,confirm dialog,mixed UI+content — do not translate {…}
dashboard.schedule.overwrite_title,Overwrite with current schedule,,saved schedule row button title,
dashboard.schedule.preview_hint,Add periods (a preset + an end time) to preview your day.,,settings preview empty state,
dashboard.schedule.remove,Remove,,schedule row button title,
dashboard.schedule.save_as,Save Schedule As…,,settings button,
dashboard.schedule.save_empty,Add at least one schedule entry first.,,alert,
dashboard.schedule.sched_delete_title,Delete,,saved schedule row button title,
dashboard.schedule.sched_duplicate_title,Duplicate,,saved schedule row button title,
dashboard.schedule.sched_load,Load,,saved schedule row button,
dashboard.schedule.show_countdown,Show countdown to next class,,settings label,
dashboard.schedule.show_nownext,Show Now / Next on dashboard,,settings label,
dashboard.schedule.show_preset_name,Show preset name,,settings label,
dashboard.schedule.sort_by_time,Sort by time,,validation button,
dashboard.schedule.sub_input,Schedule Input,,settings sub-section header,
dashboard.schedule.sub_load,Load Schedule,,settings sub-section header,
dashboard.schedule.sub_options,Schedule Sync Options,,settings sub-section header,
dashboard.schedule.suffix_tomorrow,(tomorrow),,countdown/now-next suffix,
dashboard.schedule.time_left,{time} left,,now block value,
dashboard.schedule.until_label,until,,schedule row inline label,
dashboard.schedule.warn_duplicate_time,⚠ Two rows end at the same time ({time}).,,validation warning,leading-emoji
dashboard.schedule.warn_missing_until,⚠ A row is missing an “until” time.,,validation warning,leading-emoji
dashboard.schedule.warn_out_of_order,⚠ Rows are out of time order. ,,validation warning,leading-emoji
dashboard.schedule.warn_unknown_preset,⚠ Preset “{name}” doesn't exist — create it in Presets.,,validation warning,leading-emoji; mixed UI+content — do not translate {…}
dashboard.settings.close_aria,Close settings,,settings drawer close aria,aria-label only
dashboard.settings.close_title,Close,,settings drawer close title,
dashboard.settings.collapse_all,Collapse all menus,,settings drawer button,
dashboard.settings.expand_all,Expand all menus,,settings drawer button,
dashboard.settings.header,⚙️  Dashboard Settings,,settings drawer header,leading-emoji
dashboard.settings.panel_about,About & FAQ,,panel title,
dashboard.settings.panel_dashtext,Dashboard Text,,panel title,
dashboard.settings.panel_datetime,Date & Time,,panel title,
dashboard.settings.panel_display,Display Options,,panel title,
dashboard.settings.panel_dow,Day of Week,,panel title,
dashboard.settings.panel_hebrew,Hebrew Settings,,panel title,
dashboard.settings.panel_location,Location,,panel title,
dashboard.settings.panel_omer,Omer,,panel title,
dashboard.settings.panel_picker,Student Picker,,panel title,
dashboard.settings.panel_presets,Presets,,panel title,
dashboard.settings.panel_schedule,Schedule Sync,,panel title,
dashboard.settings.panel_timer,Timer,,panel title,
dashboard.settings.panel_weather,Weather,,panel title,
dashboard.settings.sub_hebrew_font,Hebrew Font,,settings sub-section header,
dashboard.setup.close_aria,Close,,first-run setup close aria,aria-label only
dashboard.setup.skip,Skip — use New York for now,,first-run setup link,
dashboard.setup.starter_general_desc,"Secular layout — English date, big clock, weather, timer. No Hebrew calendar.",,starter layout description,
dashboard.setup.starter_general_label,General classroom,,starter layout label,
dashboard.setup.starter_hebrew_desc,"Everything on — Hebrew headers & date, Shabbat, Omer, holidays, weather.",,starter layout description,
dashboard.setup.starter_hebrew_label,Hebrew classroom,,starter layout label,
dashboard.setup.starter_morning_desc,"Days, both dates, a big clock, weather and a timer — minimal chrome.",,starter layout description,
dashboard.setup.starter_morning_label,Morning routine,,starter layout label,
dashboard.setup.subtitle,"Set your location for accurate weather and Shabbat times, then pick a starting layout. You can change anything later in Settings.",,first-run setup prose,
dashboard.setup.title,Welcome! Let's set up your dashboard,,first-run setup modal title,
dashboard.text.align_center,Center,,editor toolbar button title,
dashboard.text.align_left,Align left (LTR),,editor toolbar button title,
dashboard.text.align_right,Align right (RTL),,editor toolbar button title,
dashboard.text.bold,Bold,,editor toolbar button title,
dashboard.text.display_size,Display size,,size slider label (dashboard text),
dashboard.text.done_btn,✓ Done,,in-place toolbar button,leading-emoji
dashboard.text.done_btn_title,Finish editing,,in-place toolbar button title,
dashboard.text.edit_pencil_aria,Edit dashboard text,,edit pencil aria,aria-label only
dashboard.text.edit_pencil_title,Edit text,,edit pencil title,
dashboard.text.hide,Hide dashboard text,,settings label,
dashboard.text.insert_link,Insert link (or remove if cursor is inside one),,editor toolbar button title,
dashboard.text.italic,Italic,,editor toolbar button title,
dashboard.text.link_prompt,Enter URL:,,prompt,
dashboard.text.size_large,Large,,editor size option,
dashboard.text.size_normal,Normal,,editor size option,
dashboard.text.size_small,Small,,editor size option,
dashboard.text.size_title,Size,,editor toolbar size select title,
dashboard.text.size_xl,XL,,editor size option,
dashboard.text.size_xxl,XXL,,editor size option,
dashboard.text.spoiler,Spoiler,,editor toolbar button,
dashboard.text.spoiler_title,Wrap selection in spoiler (hidden until tapped),,editor toolbar button title,
dashboard.text.strikethrough,Strikethrough,,editor toolbar button title,
dashboard.text.sub_font,Text Font,,settings sub-section header,
dashboard.text.text_color,Text color,,editor toolbar color picker title,
dashboard.text.underline,Underline,,editor toolbar button title,
dashboard.timer.col_title,Timer,,live-card column title,RTL / hebDisplay; Hebrew fork כַּמָה זְמַן נִשְׁאַר?
dashboard.timer.custom,Custom,,timer custom button,
dashboard.timer.custom_invalid,Enter a duration as MM:SS (e.g. 2:30).,,alert,
dashboard.timer.custom_placeholder,MM:SS,,timer custom input placeholder,
dashboard.timer.done,Time!,,timer finished display,
dashboard.timer.fs_10min,10 min,,fullscreen timer pop button,
dashboard.timer.fs_1min,1 min,,fullscreen timer pop button,
dashboard.timer.fs_3min,3 min,,fullscreen timer pop button,
dashboard.timer.fs_5min,5 min,,fullscreen timer pop button,
dashboard.timer.fs_hide,Hide,,fullscreen timer pop button,
dashboard.timer.pause,⏸ Pause,,timer control button,leading-emoji
dashboard.timer.preset_10min,10 min,,timer preset button,
dashboard.timer.preset_1min,1 min,,timer preset button,
dashboard.timer.preset_3min,3 min,,timer preset button,
dashboard.timer.preset_5min,5 min,,timer preset button,
dashboard.timer.reset,↺ Reset,,timer control button,leading-emoji
dashboard.timer.set,Set,,timer custom set button,
dashboard.timer.show_fullscreen,Show timer in fullscreen mode,,settings label,
dashboard.timer.show_panel,Show Timer panel,,settings label,
dashboard.timer.start,▶ Start,,timer control button,leading-emoji
dashboard.tour.firstrun_link,Take a tour →,,First-run setup-card tour link,first-run affordance
dashboard.tour.launch_label,Tour,,Header tour-launch button label (❓ icon separate),"header button, short"
dashboard.tour.launch_title,Take a quick tour,,Header tour-launch button title,tooltip
dashboard.tour.step1_body,"Yesterday, today and tomorrow in Hebrew — plus Shabbat times and the Omer count when they apply.",,tour step body,
dashboard.tour.step1_title,Days of the week,,tour step title,
dashboard.tour.step2_body,"Today's English and Hebrew dates, the live clock, an optional holiday countdown — and, with Schedule Sync, a Now / Next line.",,tour step body,
dashboard.tour.step2_title,"Date, Hebrew date & time",,tour step title,
dashboard.tour.step3_body,"Local weather for your set location, refreshed automatically all day.",,tour step body,
dashboard.tour.step3_title,Live weather,,tour step title,
dashboard.tour.step4_body,"Go fullscreen — it scales everything up, keeps the screen awake, and shows quick controls when you move the mouse.",,tour step body,
dashboard.tour.step4_title,Project to your SmartBoard,,tour step title,
dashboard.tour.step5_body,"Everything is customizable here — location, panels, fonts, nikkud colors, and a classroom timer.",,tour step body,
dashboard.tour.step5_title,Settings,,tour step title,
dashboard.tour.step6_body,One-tap starter setups — including a general-classroom layout — and save your own presets.,,tour step body,
dashboard.tour.step6_title,Quick-start layouts,,tour step title,
dashboard.tour.step7_body,"Load your daily schedule and the dashboard switches presets by itself, period by period.",,tour step body,
dashboard.tour.step7_title,Schedule Sync,,tour step title,
dashboard.video.header,Video,,video panel header + collapse header,RTL / hebDisplay; Hebrew fork וִידֵאוֹ
dashboard.video.layout_below,Under dashboard,,radio option,
dashboard.video.layout_sidebar,In sidebar,,radio option,
dashboard.video.update_button,Update Video,,settings button,
dashboard.video.url_placeholder,Paste YouTube URL…,,video url input placeholder,
dashboard.weather.city_current,Current Location,,geolocation fallback city name,
dashboard.weather.col_title,Weather,,live-card column title,RTL / hebDisplay; Hebrew fork מַה יֵש בַּחוּץ?
dashboard.weather.desc_size,Description size,,size slider label,
dashboard.weather.descriptor_cold,Cold,,weather temp descriptor,
dashboard.weather.descriptor_hot,Hot,,weather temp descriptor,
dashboard.weather.descriptor_pleasant,Pleasant,,weather temp descriptor,
dashboard.weather.geo_error,Could not get location: {message},,alert,mixed UI+content — do not translate {…}
dashboard.weather.geo_unsupported,Geolocation is not supported by this browser.,,alert,
dashboard.weather.hide_desc,Hide weather description,,settings label,
dashboard.weather.hide_emoji,Hide weather emoji,,settings label,
dashboard.weather.hide_highlow,Hide High/Low,,settings label,
dashboard.weather.hide_panel,Hide weather panel,,settings label,
dashboard.weather.hide_temperature,Hide temperature,,settings label,
dashboard.weather.highlow,H: {high} · L: {low},,weather high/low line,
dashboard.weather.hl_size,H/L size,,size slider label,
dashboard.weather.label_language,Label language,,settings label,
dashboard.weather.label_size,Label size,,size slider label,
dashboard.weather.loading,Loading weather…,,weather loading state,
dashboard.weather.not_found,"Location ""{location}"" not found.",,weather error state,mixed UI+content — do not translate {…}
dashboard.weather.refresh,↺ Refresh,,weather refresh button,leading-emoji
dashboard.weather.refresh_title,Refresh weather,,weather refresh button title,
dashboard.weather.simple_clouds,Clouds,,simple weather description,
dashboard.weather.simple_desc,Simple weather description,,settings label,
dashboard.weather.simple_desc_tip,"Limits description to: Sun, Clouds, Sun & Clouds, Rain, Snow, or Fog — instead of full WMO detail.",,settings tooltip,
dashboard.weather.simple_fog,Fog,,simple weather description,
dashboard.weather.simple_rain,Rain,,simple weather description,
dashboard.weather.simple_snow,Snow,,simple weather description,
dashboard.weather.simple_sun,Sun,,simple weather description,
