Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
אֱמֶת אוֹ חוֹבָה,emét o khová,noun,truth or dare (game where players perform a dare or answer a question by spinning a bottle),,
אֱמוּנָה,emuná,noun,"belief, creed, dogma",,
אֱמוּנָה,emuná,noun,faith,,
אֱמוּנָה,emuná,noun,"faith, trust, confidence",,
אֱמוּנָה תְּפֵלָה,emuná t'felá,noun,a superstition (a set of beliefs that future events may be influenced by one's behaviour in some magical or mystical way),,
אֱנְגַ׳רָה,enjará,noun,injera,,
אֱנוֹשִׁי,enoshí,adjective,human: of or relating to human beings or humankind,,
אֱנוֹשִׁי,enoshí,adjective,humane,,
אֱנוֹשִׁיּוּת,enoshiút,noun,humaneness,,
אֱנוֹשׁ,enósh,noun,"human, man, person, mortal",Biblical,poetic
אֱנוֹשׁ,enósh,proper noun,"Enos (a grandson of Adam), also Enosh",,
אֱנוֹשׁ,enósh,proper noun,"a male given name, Enosh",,
אֱנוֹשׁוּת,enoshút,noun,"humanity, humanness, humankind",,
אֱשׁוּן,eshún,noun,"time, period of time",Biblical,
אֲבִי הָעֶזְרִי,ʾavi haʿezrí,proper noun,an Abiezrite or descendant of Abiezer.,,
אֲבִי הָעוֹרְקִים,aví ha'orkím,noun,aorta,,
אֲבִיָּה,aviyá,proper noun,"Abijah (king of Judah after Rehoboam, the first to begin reign over Judah only; the father of Asa)",,
אֲבִיָּה,aviyá,proper noun,"a male or female given name. The name of several Israelites; Abiah, Abijah",,
אֲבִיּוֹנָה,ʔăḇiyyonɔ,noun,"caperberry, fruit of the caperbush",Biblical,Medieval
אֲבִיּוֹנָה,ʔăḇiyyonɔ,noun,orgasm,Biblical,rare; Medieval
אֲבִיגַיִל,avigáyil,proper noun,Abigail (the wife of Nabal and later of David in the Old Testament),,
אֲבִיגַיִל,avigáyil,proper noun,"a female given name, equivalent to English Abigail",,
אֲבִיהֶן,avihén,noun,Their father: singular form of אָב (áv) with third-person feminine plural personal pronoun as possessor.,Biblical,
אֲבִיהוּד,ʾăḇīhū́ḏ,proper noun,"Abihud, the name of multiple figures in the Hebrew Bible",,
אֲבִיהוּד,ʾăḇīhū́ḏ,proper noun,"a male given name, equivalent to English Abihud",,rare
אֲבִיזָר,ʾaḇizā́r,noun,"accessory, prop",,
אֲבִיזָר מִין,avizár min,noun,sex toy,,
אֲבִימֶלֶךְ,avimélekh,noun,A ruler of a Philistine principality or town.,Biblical,
אֲבִימֶלֶךְ,Avimélekh,proper noun,"a male given name, equivalent to English Abimelech",Biblical,
אֲבִיעֶזֶר,,proper noun,"Abiezer, the name of two Israelites.",,
אֲבִישָׁלוֹם,avishalóm,proper noun,"Absalom (the third son of David, king of Israel)",,
אֲבִישָׁלוֹם,avishalóm,proper noun,"a male given name, equivalent to English Avshalom or Absalom",,
אֲבֵדָה,avedá,noun,a loss,Biblical,
אֲבֵדָה,avedá,noun,"a perishing, destruction",,
אֲבַב,aváv,verb,to be thick; to swell; to break forth,,Mishnaic
אֲבַגְתָא,avagtá,proper noun,"Abagtha, a eunuch of Xerxes.",Biblical,
אֲבַדּוֹן,avadón,noun,"oblivion, destruction, devastation, ruin, doom, damnation",Biblical,
אֲבַטִּיחַ,avatíakh,noun,some species of fruit similar to the modern watermelon or melon,Biblical,
אֲבַטִּיחַ,avatíakh,noun,"watermelon (a plant of the species Citrullus lanatus, bearing a melon-like fruit)",,
אֲבַטִּיחַ,avatíakh,noun,"watermelon (the fruit of the watermelon plant, having a green rind and watery flesh that is typically bright red when ripe and contains black seeds)",,
אֲבַעְבּוּעָה,ava'bu'á,noun,blister,,
אֲבַעְבּוּעוֹת רוּחַ,ava'bu'ót rúakh,noun,chicken pox,,
אֲבַעְבּוּעוֹת שְׁחֹרוֹת,ava'bu'ót shkhorót,noun,smallpox,,
אֲבַק שְׂרֵפָה,avák srefá,noun,gunpowder,,
אֲבָבִית,avavít,noun,"rash, exanthem",,
אֲבָהִי,avahí,adjective,fatherly,,
אֲבָהִי,avahí,adjective,paternal,,
אֲבָל,aval,conjunction,but,Both,
אֲבָל,avál,conjunction,"however, though",,
אֲבוֹי,avóy,interjection,"woe!, ah! alas!",,
אֲבוּקָה,avuká,noun,"torch (a stick of wood or plant fibres twisted together, with one end soaked in a flammable substance such as resin or tallow and set on fire, which is held in the hand, put into a wall bracket, or stuck into the ground, and used chiefly as a light source)",,
אֲגַג,agág,proper noun,Agag; a king of Amalek,Biblical,
אֲגַם,agám,noun,"lake, pool",,
אֲגַם,agám,noun,"reed, bulrush",,
אֲגַם,agám,noun,"swamp, marsh",,
אֲגַף,agáf,noun,department,,
אֲגַף,agáf,noun,term of an equation,,
אֲגַף,agáf,noun,wing of a building,,
אֲגַרְטָל,agartál,noun,"(archaic) a kind of vessel, basin, basket.",,
אֲגַרְטָל,agartál,noun,vase,,
אֲגֻדָּה,agudá,noun,bundle: a group of objects bound together.,Biblical,
אֲגֻדָּה,agudá,noun,"coalition, congress",,
אֲגוֹרָה,agorá,noun,agora (ancient coin).,,
אֲגוֹרָה,agorá,noun,"agora (since 1960, a monetary unit and coin of Israel, the 100th part of a shekel / sheqel)",,
אֲגוּדָל,'agudál,noun,thumb (the shortest and thickest digit of the hand that for humans has the most mobility and can be made to oppose (moved to touch) all of the other fingers),,Mishnaic
אֲגוּדָל,'agudál,noun,thumbsbreadth,,Mishnaic
אֲדִישׁוּת,adishút,noun,"indifference, apathy",,
אֲדַמְדַּם,adamdám,adjective,reddish,,
אֲדַמְדַּמּוּת,adamdamút,noun,reddishness,,
אֲדָמָה,adamá,noun,"earth, soil, land",,
אֲדָר,adár,proper noun,"Adar (the sixth month of the civil year and the twelfth month of the ecclesiastical year in the Jewish calendar, after Shevat and before Nisan)",Biblical,Judaism
אֲדָר,adár,proper noun,a male or female given name,,
אֲדֹנִירָם,adōnîyrā́m,proper noun,"a male given name, Adoniram",Biblical,
אֲדוֹנִי,adoní,noun,"sir, my lord (used when addressing a man)",,
אֲדוֹנָי,adonáy,proper noun,"the Lord, God",,
אֲדוֹשֵּׁם,adoshém,proper noun,"a substitute for the Tetragrammaton, used to avoid taking the name in vain",,Judaism
אֲהָהּ,ăhā́h,interjection,"oh, alas, ah",,
אֲהוּבָה,ahuvá,noun,A loved one (female).,,
אֲהוּבָה,ahuvá,noun,A lover (female).,,
אֲוִיר,avír,noun,air,,
אֲוִירִי,avirí,adjective,air,,
אֲוִירָה,avirá,noun,"atmosphere (the conditions (such as music, illumination etc.) that can influence the mood felt in an environment)",,
אֲוִירָה,avirá,noun,atmosphere (the gases surrounding the Earth or any astronomical body),,
אֲוִירוֹדִינָמִיקָה,avirodinámika,noun,aerodynamics (the science of the dynamics of bodies moving relative to gases),,
אֲוָז,aváz,noun,goose,,
אֲוָזוֹן,avazon,noun,gosling,,
אֲחִיזָה,akhiza,noun,"A hold, grip",,
אֲחִיזָה,akhiza,noun,traction,,
אֲחִינֹעַם,akhinó'am,proper noun,"a female given name, Ahinoam or Achinoam",,
אֲחַשְׁדַּרְפָּן,aḥashdarpán,noun,satrap,Biblical,
אֲחַשְׁוֵרוֹשׁ,Akhashverósh,proper noun,Ahasuerus (biblical character),Biblical,
אֲחָדִים,akhadím,determiner,"a few, some",,
אֲחֹתוֹ,akhotó,noun,His/its sister: defective spelling of אֲחוֹתוֹ: singular form of אֲחוֹת (akhót) with third-person masculine singular personal pronoun as possessor.,Biblical,
אֲחֻזָּה,akhuzá,noun,"estate, property",,
אֲחֻזָּה,akhuzá,noun,manor,,
אֲחוֹרַנִּית,akhoranít,adverb,backwards,,
אֲחוּ,akhú,noun,only used in אחושרמוטה and a small number of derived vulgarisms.,,
אֲחוּשַׁרְמוּטָה,akhusharmúta,adverb,fucking (as an intensifier),,slang; vulgar
אֲטִימָה,atimá,noun,"sealing, caulking, stoppage",,
אֲכִילָה,akhilá,noun,eating,,
אֲלֶכְּסַנְדְּרִיָּה,aleksandríya,proper noun,"Alexandria (a city, port, and former capital of Egypt famed for its ancient library and lighthouse)",,
אֲלֶכְּסַנְדְּרִיָּה,aleksandríya,proper noun,Alexandria (a governorate of Egypt around the city),,
אֲלַכְסוֹן,alakhsón,noun,diagonal,,
אֲלַכְסוֹנִי,alakhsoní,adjective,"diagonal, oblique",,
אֲלָפִים,alafím,noun,thousands (of something),,
אֲלֻמָּה,aluma,noun,beam (of light),,
אֲלֻמָּה,aluma,noun,sheaf,,
אֲללַּהּ,alláh,proper noun,Allah,,
אֲמִירָה,amirá,noun,"an expression, a saying",,
אֲמִתִּי,amití,adjective,"real, true, actual",,
אֲמַצְיָה,Amatsyá,proper noun,"Amaziah, the name of multiple Biblical figures",,
אֲמַתְלָה,amatlá,noun,excuse,,
אֲמָנָה,amaná,noun,"convention, covenant, treaty",,
אֲנִי,aní,noun,ego,,
אֲנִי,ani,pronoun,I,Both,
אֲנִי,aní,pronoun,"I (first person nominative singular pronoun, masculine and feminine)",,
אֲנִי ־עֶלְיוֹן,ani-elyón,noun,superego,,
אֲנִי אוֹהֵב אוֹתְךָ,aní ohév otchá,phrase,I love you (male to male),,
אֲנִי אוֹהֵב אוֹתָךְ,aní ohév otách,phrase,I love you (male to female),,
אֲנִי אוֹהֵבֵת אוֹתְךָ,aní ohévet otchá,phrase,I love you (female to male),,
אֲנִי אוֹהֵבֵת אוֹתָךְ,aní ohévet otách,phrase,I love you (female to female),,
אֲנִי זָקוּק לִ מְתֻרְגְּמָן,aní zakúk lim'turg'mán,phrase,I need an interpreter,,
אֲנִי טִבְעוֹנִי,aní tiv'oní,phrase,I'm a vegan,,
אֲנִי טִבְעוֹנִית,aní tiv'onít,phrase,I'm a vegan,,
אֲנִי לֹא מְדַבֵּר אַנְגְּלִית,aní lo medabér anglít,phrase,I don't speak English (said by a male speaker),,
אֲנִי לֹא מְדַבֵּר עִבְרִית,aní lo medabér ivrít,phrase,I don't speak Hebrew,,
אֲנִי לֹא מְדַבֶּרֶת אַנְגְּלִית,aní lo medabéret anglít,phrase,I don't speak English (said by a female speaker),,
אֲנִי לֹא מְדַבֶּרֶת עִבְרִית,aní lo medabéret ivrít,phrase,I don't speak Hebrew,,
אֲנִי מִצְטַעֵר,ani mitstaer,phrase,I'm sorry,,
אֲנַחְנוּ,anákhnu,pronoun,We; the subject form of the first-person plural personal pronoun.,,
אֲנַכְרוֹנִיסְטִי,anakhronisti,adjective,anachronistic,,
אֲנָכִי,anakhí,adjective,"perpendicular, sheer, upright",,
אֲנָכִי,anakhí,adjective,vertical,,
אֲנָקָה,anaká,noun,moan,,
אֲסִימוֹן,asimón,noun,token,,
אֲסִיר עוֹלָם,asír 'olám,noun,"lifer, prisoner for life",,
אֲסִירָה,asirá,noun,"A (female) prisoner, inmate, captive, bondswoman.",,
אֲסֵפָה,asefá,noun,"a collection, an accumulation",,
אֲסֵפָה,asefá,noun,"a meeting, a gathering, an assembly, a convention, a conference",,
אֲסֵפָה,asefá,noun,date of collection for agricultural produce,,
אֲפִיקוֹמָן,afikomán,noun,afikomen,,
אֲפִלּוּ,afílu,preposition,even (emphasizing comparison or extreme example),,
אֲפֵר,afér,noun,bandage,,
אֲפֵר,afér,noun,"blindfold, eye covering",,
אֲפַרְכֶּסֶת,afarkéset,noun,auricle,,
אֲפַרְכֶּסֶת,afarkéset,noun,earpiece,,
אֲפַרְסְמוֹן,afarsemón,noun,balsam,,
אֲפַרְסְמוֹן,afarsemón,noun,"persimmon (the orange fruit of any of various species of trees in the genus Diospyros, especially Diospyros kaki (the kaki or Japanese persimmon) or Diospyros virginiana (the wild American persimmon), which is sweet when ripe and astringent when immature)",Modern,
אֲפַרְסֵק,afarsék,noun,peach (a light yellow-red colour),,
אֲפַרְסֵק,afarsék,noun,"peach (any tree of species Prunus persica, native to China and now widely cultivated throughout temperate regions, having pink flowers and edible fruit)",,
אֲפַרְסֵק,afarsék,noun,"peach (soft juicy stone fruit of the peach tree, having yellow flesh, downy, red-tinted yellow skin, and a deeply sculptured pit or stone containing a single seed)",,
אֲפַרְפַּר,afarpár,adjective,grayish,,
אֲפָר,afár,noun,meadow,,
אֲפוּנָה,afuná,noun,pea,,
אֲצֻלָּה,atsulá,noun,"nobility, aristocracy",,
אֲרִי,arí,proper noun,"a male given name, equivalent to English Ari",,
אֲרִי יָם,arí yam,noun,sea lion,,
אֲרִיאֵל,ari'él,proper noun,"a male or female given name, Ariel",,
אֲרִידָתָא,Aridatha,proper noun,a son of Haman named in the Book of Esther.,,
אֲרִיזָה,arizá,noun,"packaging, packing",,
אֲרִינָמָל,arinamál,noun,antlion,,
אֲרִיסְטוֹ,arísto,proper noun,Aristotle,,
אֲרֶשֶׁת,aréshet,noun,"expression, appearance",,
אֲרַם,arám,proper noun,Aram,,
אֲרַם,arám,proper noun,a male given name,,
אֲרַם נַהֲרַיִם,arám naharáyim,proper noun,"Aram of (the) two rivers (Euphrates and Tigris), a region in Mesopotamia where Abraham was born.",,
אֲרַמִּי,aramí,adjective,"Aramean, Aramaic",Biblical,
אֲרָמִית,aramít,proper noun,"Aramaic (a subfamily of languages in the Northwest Semitic language group, including, but not limited to:)",,
אֲרָרָט,ararát,proper noun,Ararat,Biblical,
אֲרֻבָּה,arubá,noun,chimney,,
אֲרוֹן הַבְּרִית,arón habrít,proper noun,Ark of the Covenant,,Judaism
אֲרוֹן סְפָרִים,arón s'farím,noun,bookshelf,,
אֲרוֹן קֹדֶשׁ,arón kódesh,noun,"ark (a decorated cabinet at the front of a synagogue, in which Torah scrolls are kept)",,Judaism
אֲרוּחַת בֹּקֶר,arukhát bóker,noun,breakfast,,
אֲרוּחַת עֶרֶב,arukhát érev,noun,dinner (an evening meal),,
אֲרוּחַת עֶשֶׂר,arukhat eser,noun,"Breakfast at or about ten o'clock, during a break from work or school.",,
אֲרוּחַת צׇהֳרַיִם,arukhát tsohoráyim,noun,lunch,,
אֲרוּחָה,arukhá,noun,"meal (food that is prepared and eaten, usually as part of one's main sustenance for a day)",,
אֲשֵׁרָה,asherá,proper noun,the goddess Asherah,Biblical,
אֲשֶׁר,ashér,conjunction,In conjunction with another subjunction.,Biblical,
אֲשֶׁר,ashér,conjunction,Introduces a subordinate clause.,,
אֲשֶׁר,ashér,conjunction,Introduces an adverbial clause.,Biblical,
אֲשֶׁר,ashér,conjunction,"so that, in order that",Biblical,
אֲשֶׁר,ashér,conjunction,that,Biblical,
אֲשֶׁר,ashér,conjunction,"the thing which, the person who",Biblical,
אֲשֶׁר,ashér,conjunction,"who, which",,
אֲשֶׁר עַל כֵּן,ashér al ken,adverb,therefore,,
אֲתַר אִינְטֶרְנֶט,atár ínternet,noun,website,,
אֲתָר,atár,noun,"A site: the location of an object, person, event, or similar.",,
אֳנִי,oní,noun,"fleet, shipping",,
אֳנִיָּה,oniyá,noun,ship,,
אִבְּן,ibn,noun,ibn,,
אִבְזֵר,ivzér,verb,to equip,,
אִבְחֵן,'ivkhén,verb,to diagnose,,
אִבְחָה,ivkhá,noun,"thrust, brandishing of a sword: – point.",Biblical,archaic
אִבְחוּן,ivkhún,noun,diagnosis,,
אִבְטֵחַ,ivtéakh,verb,"to secure, protect",,
אִבֵּד,ibéd,verb,"to destroy, obliterate",Biblical,
אִבֵּד,ibéd,verb,"to drop from memory, to forget",,
אִבֵּד,ibéd,verb,to lose,,
אִבּוּד,ibúd,noun,disappearance,,
אִבּוּד,ibúd,noun,loss,,
אִבּוּל,ibúl,noun,"the gate for carrying grain into the house, wagon-gate, gate-way",,
אִגְרוּף,igrúf,noun,boxing (a sport where two opponents punch each other with gloved fists),,
אִגְרוּף תַּיְלַנְדִּי,igrúf tailándi,noun,Muay Thai,,
אִגֶּרֶת,igéret,noun,"letter, epistle",,
אִגֶּרֶת חוֹב,igéret khóv,noun,"bond, debenture",,
אִדָּה,'idá,verb,to evaporate,,
אִדָּה,'idá,verb,to steam,,
אִוְרֵר,'ivrér,verb,"ventilate, air (bring something into contact with the air)",,
אִוְשָׁה,ivshá,noun,"slight noise, murmur, hum",,
אִוֶּלֶת,ivélet,noun,folly,Biblical,
אִוָּה,'ivá,verb,"to greatly desire, want, long for, lust for",,
אִזְדָּרֶכֶת,'izdarékhet,noun,"Melia azedarach (Persian lilac, Pride of India)",,
אִזְכֵּר,izkér,verb,"to make a reference, to refer to, to quote",,
אִזְמֵל,izmél,noun,"knife, scalpel.",,
אִזְמַרְגָּד,izmargád,noun,emerald,,
אִזֵּן,izén,verb,"to level, to balance",,
אִחְסֵן,ikhsén,verb,to store,,
אִחֵד,ʾikhéd,verb,"to combine, to merge",,
אִחֵד,ʾikhéd,verb,"to unify, to consolidate",,
אִחֵד,ʾikhéd,verb,to unite (to come or bring together as one),,
אִחֵל,ikhél,verb,"to wish, congratulate",,
אִחֵר,ikhér,verb,to be late,,
אִחוּד,ikhúd,noun,Union.,,
אִחוּד הָאֶמִרֻיּוֹת הַעֲרָבִיּוֹת,'ikhúd ha'emiruyót ha'araviyót,proper noun,United Arab Emirates (a country in West Asia in the Middle East),,
אִחוּר,ikhúr,noun,"A delay: an instance of lateness, a discrepancy between an expected time and an actual time.",,
אִטְלִיז,itliz,noun,butchershop,,
אִטְלֵק,itlék,verb,to Italianize,,
אִטְרִיָּה,itriyá,noun,noodle (string or strip of pasta),,
אִטִּי,ití,adjective,slow,,
אִטִּיּוּת,'itiyút,noun,slowness,,
אִטֵּר,itér,noun,"leftie, left-hander, one who is left-handed",,
אִי,í,adverb,not,,
אִי,í,conjunction,if,,
אִי,í,interjection,"oh!, ah!",,
אִי,i,interjection,woe!,Biblical,Eccl 4:10
אִי,í,noun,Egyptian jackal (Canis aureus lupaster),Biblical,
אִי,í,noun,an island,Biblical,
אִי,i,noun,island / coastland,Biblical,
אִי בּוֹדֵד,i bodéd,noun,desert island,,
אִי נוֹחוּת,í-nokhút,noun,"Discomfort, unease.",,
אִיֵּי שְׁלֹמֹה,iyé shlomó,proper noun,"Solomon Islands (a country consisting of the majority of the Solomon Islands archipelago in Melanesia, in Oceania, as well as the Santa Cruz Islands)",,
אִיֵּי שְׁלֹמֹה,iyé shlomó,proper noun,"Solomon Islands (an archipelago in Melanesia, split between the countries of the Solomon Islands and Papua New Guinea).",,
אִיֵּם,iyém,verb,to threaten,,
אִיֵּר,iyér,verb,to illustrate,,
אִיֵּת,iyét,verb,to spell (as a word),,
אִיָּר,iyár,proper noun,"Iyar (the eighth month of the civil year and the second month of the ecclesiastical year in the Jewish calendar, after Nisan and before Sivan)",,Judaism
אִיּוֹב,iyóv,proper noun,"Ayoub, a major nabi of Islam",,
אִיּוֹב,iyóv,proper noun,Job (a book of the Old Testament and the Hebrew Tanakh),,
אִיּוֹב,iyóv,proper noun,"Job (a character in the Old Testament and the Qur'an, renowned for his patience)",,
אִיּוֹב,iyóv,proper noun,"a male given name, Iyov",,
אִיּוּם,iyum,noun,a threat,,
אִיּוּר,iyúr,noun,illustration (picture designed to decorate),,
אִי־ אֶפְשָׁר,í-efshár,adjective,"forbidden, not allowed",,
אִי־ אֶפְשָׁר,í-efshár,adjective,"impossible, not possible",,
אִי־ הֲבָנָה,í-havaná,noun,misunderstanding,,
אִי־וַדָּאוּת,í-vada'út,noun,Uncertainty: a lack of certainty.,,
אִי־שִׁוְיוֹן,i-shivyón,noun,An inequality: a statement that one quantity is greater than another (as opposed to an equation).,,
אִי־שִׁוְיוֹן,i-shivyón,noun,Inequality: a disparity between two groups.,,
אִידִיוֹט,idyót,noun,A (male) idiot: a (male) stupid person.,,
אִידִילְיָה,'idílya,noun,idyll,,
אִידִישָׁאִי,idišai,adjective,Yiddish,,
אִידִישׁ,'ídish,proper noun,Yiddish (the language),,
אִידֵאָל,ide'ál,noun,An ideal: a non-empty lower set (of a partially ordered set) that is closed under binary suprema.,,
אִידֵאָל,ide'ál,noun,"An ideal: a perfect standard (as of beauty, intellect, or love).",,
אִידֵאוֹלוֹגְיָה,'ide'ológya,noun,ideology,,
אִיזֶבֶל,'izével,proper noun,"Jezebel (the Phoenician princess and Queen of Ancient Israel who appears in the Old Testament (1 Kings & 2 Kings), and who incited heresy and lured the Jews away from their God and back to idols)",,
אִיזֶבֶל,'izével,proper noun,"a female given name, equivalent to English Jezebel",,
אִיטַלְיָה,itálya,proper noun,Italy (a country in Southern Europe),,
אִיטַלְקִי,italkí,adjective,Italian,,
אִיטַלְקִי,italkí,noun,Italian (an inhabitant of Italy or a person of Italian descent),,
אִיטַלְקִית,italkít,proper noun,"Italian (the official language of Italy, also spoken in San Marino, the Vatican, and parts of Argentina, Slovenia and Switzerland; various varieties (dialects) exist)",,
אִיכְס,ikhs,interjection,"ew, yuck",,
אִיכְתִּיּוֹלוֹגְיָה,ikh'tiyolohiya,noun,ichthyology (branch of zoology devoted to the study of fish),,
אִיכָבוֹד,ʾīḵāḇōḏ,proper noun,"a male given name, equivalent to English Ichabod",,
אִילִירְיָה,ilírya,proper noun,"Illyria (a vaguely-defined geographic region in Southeast Europe in the western part of the Balkan Peninsula, approximately coincident with modern Albania)",,
אִילִירְיָה,ilírya,proper noun,"Illyria, Illyricum (a much larger former province of the Roman Empire, covering the whole of Dalmatia and Pannonia, existing from 27 BC to c. 70 AD and reconstituted in 293 AD by Diocletian)",,
אִילַן יֻחֲסִין,ilán yukhasín,noun,family tree,,
אִילָן,ilán,noun,tree (plant),,
אִילָן,ilán,proper noun,"a male given name, Ilan",,
אִילָנִית,'ilanít,noun,tree frog,,
אִיל־דֶה־פְרָנְס,íl-de-frans,proper noun,"Île-de-France (an administrative region in north-central France, including Paris)",,
אִימְפֶּרְיָאלִיזְם,imperyalízem,noun,imperialism,,
אִימְפֶּרְיָה,imperyá,noun,empire,,
אִימֵיְל,ímeil,noun,e-mail,,colloquial
אִימָּהוּת,imahút,noun,"motherhood, maternity",,
אִימָאם,imám,noun,imam (one who leads the salat prayers in a mosque),,
אִימוּנוֹלוֹגְיָה,imunologyá,noun,immunology,,
אִינְדִּיגוֹ,índigo,adjective,indigo (being of the indigo colour),,
אִינְדִּיגוֹ,índigo,noun,indigo (purplish-blue colour),,
אִינְדּוֹנֵזִי,indonézi,proper noun,Indonesian,,
אִינְדּוֹנֶזְיָה,indonézya,proper noun,Indonesia (a country and archipelago in maritime Southeast Asia),,
אִינְדּוֹנֶזִית,indonézit,proper noun,Indonesian (the common language spoken in Indonesia),,
אִינְטֶלִיגֶנְטִי,inteligénti,adjective,intelligent,,
אִינְטֶלִיגֶנְצְיָה,inteligéntsya,noun,Intelligence: capacity of mind; the ability to learn and comprehend.,,
אִינְטֶלִיגֶנְצְיָה מְלָאכוּתִית,inteligéntsya melakhutít,noun,artificial intelligence,,
אִינְטֶנְסִיבִי,intensívi,adjective,Intensive: thorough; to a great degree.,,
אִינְטֶרְאַקְצִיָּה,interáktsiya,noun,Interaction.,,
אִינְטֶרְלִינְגוּאָה,interlingua,proper noun,Interlingua (interlanguage based on Romance languages),,
אִינְטֶרְנֵטִי,internéti,adjective,"Internet, online: of, on, or relating to the Internet.",,
אִינְטֶרְנֶט,ínternet,noun,An internet: a group of mutually connected computer networks.,,rare
אִינְטֶרְסֶקְס,ínterseks,adjective,"Intersex, intersexed.",,
אִינְטֶרְסֶקְס,ínterseks,noun,An intersex person.,,
אִינְטֶרְסֶקְס,ínterseks,noun,Intersex people.,,
אִינְטֶרְסֶקְס,ínterseks,noun,Intersex: the condition of being intersex.,,
אִינְטֶרַקְצְיָה,interáktsia,noun,interaction,,
אִינְסְטִינְקְטִיבִי,instinktívi,adjective,instinctive,,
אִינְסוּלִין,insulin,noun,insulin (hormone),,
אִינְפְלַצְיָה,inflátsya,noun,Inflation: a general and long-term rise in prices in a given country or market.,,
אִינְפַנְטִילִי,infantíli,adjective,"child-like, infantile",,
אִינְפַנְטִילִי,infantíli,adjective,childish (suitable for a child),,
אִינְפַנְטִילִי,infantíli,adjective,"juvenile, immature",,
אִינְפוֹרְמַצְיָה,informátsya,noun,"Information, data: a grouping of facts about a given situation.",,
אִינְץ׳,ínch,noun,inch,,
אִיסְטַנְבּוּל,istanbul,proper noun,"Istanbul (a Turkish city, and the largest European city by population, which was the last capital of the Ottoman Empire and the Byzantine Empire (Eastern Roman Empire))",,
אִיסְטַנְבּוּל,istanbul,proper noun,Istanbul (a province of Turkey),,
אִיסְלַנְד,ísland,proper noun,Iceland (an island and country in the North Atlantic Ocean in Europe),,
אִיסְלַנְדִּי,islándi,adjective,Icelandic,,
אִיסְלַנְדִּי,islándi,noun,Icelander,,
